Pallet: "pallet_portfolio", Extrinsic: "create_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
Writes = 2 + (0 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    1     137.8      0.36    0.2%
    5     129.9     7.601    5.8%
    9     139.3     2.541    1.8%
   13     136.8     0.333    0.2%
   17     136.7     0.214    0.1%
   21     138.2     0.235    0.1%
   25     136.5     0.812    0.5%
   29     130.9     8.309    6.3%
   33     144.4     4.801    3.3%
   37     137.4     0.073    0.0%
   41     138.1     0.149    0.1%
   45     126.7     9.405    7.4%
   49     135.7     12.46    9.1%
   53     139.1     1.508    1.0%
   57     132.3     8.838    6.6%
   61     138.4      0.78    0.5%
   65       131     8.391    6.4%
   69     132.3     8.195    6.1%
   73       126     8.546    6.7%
   77     131.1     5.262    4.0%
   81     137.6     2.327    1.6%
   85     124.3     7.382    5.9%
   89       126       8.7    6.9%
   93       130     7.692    5.9%
   97       137     2.321    1.6%
  101     130.3     7.574    5.8%
  105     137.1     12.62    9.1%
  109       132     8.258    6.2%
  113       130     6.789    5.2%
  117     120.4     0.327    0.2%
  121     129.6     7.764    5.9%
  125     127.2      8.93    7.0%
  129     138.9     0.646    0.4%
  133     127.6     8.007    6.2%
  137     133.5     8.913    6.6%
  141     133.6     8.777    6.5%
  145     134.5     8.537    6.3%
  149     122.7     1.337    1.0%
  153     134.2     9.052    6.7%
  157     140.4     14.58   10.3%
  161     137.3      2.99    2.1%
  165     127.5     9.135    7.1%
  169     133.4     8.688    6.5%
  173     121.4      0.47    0.3%
  177     127.4     8.893    6.9%
  181     127.4     8.896    6.9%
  185     141.5     11.69    8.2%
  189     146.6     6.435    4.3%
  193     148.1     4.655    3.1%
  197     135.2      7.72    5.7%
  201     140.1     0.412    0.2%
  205     127.9     8.656    6.7%
  209     121.2     0.111    0.0%
  213     135.7     10.26    7.5%
  217     133.9     8.183    6.1%
  221     134.8     9.131    6.7%
  225     131.6     13.42   10.1%
  229     131.4     7.454    5.6%
  233     129.5     9.179    7.0%
  237     129.3     8.685    6.7%
  241     140.9     0.246    0.1%
  245     134.4     8.625    6.4%
  249     134.5     8.469    6.2%
  253     146.2     3.764    2.5%
  257     135.9     8.587    6.3%
  261     128.5     9.189    7.1%
  265     141.8     0.168    0.1%
  269     134.8     9.243    6.8%
  273       135     8.649    6.4%
  277     141.5     0.713    0.5%
  281       126     6.292    4.9%
  285     136.7     6.814    4.9%
  289     128.5     8.878    6.9%
  293     132.9     7.796    5.8%
  297     129.2     8.316    6.4%
  301       127     6.215    4.8%
  305     135.1     8.675    6.4%
  309     142.1     7.534    5.3%
  313     145.6     5.446    3.7%
  317     128.5     8.748    6.8%
  321     137.2     7.796    5.6%
  325     128.8     5.885    4.5%
  329     141.9      0.07    0.0%
  333     135.8     8.883    6.5%
  337     135.7     9.144    6.7%
  341     136.3     9.512    6.9%
  345     129.5     8.559    6.6%
  349     140.7     0.905    0.6%
  353     129.1      8.66    6.7%
  357     125.9     3.681    2.9%
  361     136.8     7.557    5.5%
  365     142.6     0.423    0.2%
  369     130.4       8.9    6.8%
  373     129.7     9.148    7.0%
  377     141.9     0.472    0.3%
  381     135.9     8.679    6.3%
  385     137.4     8.789    6.3%
  389     153.3     3.573    2.3%
  393     127.7     6.194    4.8%
  397     135.3     6.379    4.7%
  401     130.4     8.748    6.7%
  405     129.7     8.843    6.8%
  409     129.2       7.8    6.0%
  413     136.7     8.652    6.3%
  417     133.6      7.08    5.2%
  421       137     8.453    6.1%
  425     123.4     0.383    0.3%
  429     123.8     0.691    0.5%
  433     125.5     0.984    0.7%
  437     129.3     7.917    6.1%
  441     123.5      0.28    0.2%
  445     123.9     0.142    0.1%
  449     128.4      6.55    5.0%
  453     143.7     0.522    0.3%
  457       143     0.334    0.2%
  461       137     8.511    6.2%
  465     123.6     0.163    0.1%
  469     139.5     10.71    7.6%
  473     130.4     9.151    7.0%
  477     124.1     2.886    2.3%
  481     131.6     8.246    6.2%
  485     123.8     0.431    0.3%
  489     124.9     0.838    0.6%
  493     130.7     9.091    6.9%
  497     123.9     0.116    0.0%

Quality and confidence:
param     error
i         0.003

Model:
Time ~=    134.5
    + i        0
              µs

Reads = 8 + (0 * i)
Writes = 2 + (0 * i)
