Pallet: "pallet_capital_distribution", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
 1000    40      1166     49.54    4.2%
 1000    60      1155     27.48    2.3%
 1000    80      1144     17.34    1.5%
 1000   100      1153     38.61    3.3%
 1000   120      1206     45.78    3.7%
 1000   140      1166     15.58    1.3%
 1000   160      1184     15.39    1.3%
 1000   180      1253     68.79    5.4%
 1000   200      1233     18.66    1.5%
 1000   220      1162     54.63    4.6%
 1000   240      1270     57.81    4.5%
 1000   260      1178     20.01    1.6%
 1000   280      1217     87.82    7.2%
 1000   300      1227     80.59    6.5%
 1000   320      1227      68.7    5.5%
 1000   340      1203     26.73    2.2%
 1000   360      1276     52.93    4.1%
 1000   380      1271     41.16    3.2%
 1000   400      1244     22.36    1.7%
 1000   420      1202     51.85    4.3%
 1000   440      1275     3.629    0.2%
 1000   460      1338     38.62    2.8%
 1000   480      1212     39.01    3.2%
 1000   500      1266     29.34    2.3%
 1000   520      1285     68.87    5.3%
 1000   540      1287     26.76    2.0%
 1000   560      1298     34.21    2.6%
 1000   580      1261     21.72    1.7%
 1000   600      1320     35.81    2.7%
 1000   620      1263     36.29    2.8%
 1000   640      1307     50.41    3.8%
 1000   660      1323     10.43    0.7%
 1000   680      1369     26.46    1.9%
 1000   700      1279      42.4    3.3%
 1000   720      1266     34.56    2.7%
 1000   740      1275     39.69    3.1%
 1000   760      1261     38.67    3.0%
 1000   780      1363     9.551    0.7%
 1000   800      1311     23.98    1.8%
 1000   820      1308     19.29    1.4%
 1000   840      1366     32.09    2.3%
 1000   860      1314     33.67    2.5%
 1000   880      1315     25.38    1.9%
 1000   900      1323     37.07    2.8%
 1000   920      1383     61.32    4.4%
 1000   940      1361     53.34    3.9%
 1000   960      1316     27.15    2.0%
 1000   980      1352     13.32    0.9%
 1000  1000      1379     62.05    4.4%

Quality and confidence:
param     error
t         0.012
w         0.012

Model:
Time ~=    730.8
    + t    0.427
    + w    0.214
              µs

Reads = 31 + (0 * t) + (0 * w)
Writes = 11 + (0 * t) + (0 * w)
