Pallet: "pallet_staking", Extrinsic: "submit_solution_better", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1910,2000,500,100,104649793,12060,2106,16406,2,2
1910,2000,500,100,103008210,23961,2106,16406,2,2
1910,2000,500,100,102213290,10445,2106,16406,2,2
1910,2000,500,100,93166197,10448,2106,16406,2,2
1920,2000,500,100,93166933,11956,2106,16406,2,2
1920,2000,500,100,95438214,12575,2106,16406,2,2
1920,2000,500,100,96536451,10793,2106,16406,2,2
1920,2000,500,100,101852132,12207,2106,16406,2,2
1920,2000,500,100,95545747,11561,2106,16406,2,2
1930,2000,500,100,98907656,13014,2106,16406,2,2
1930,2000,500,100,99015763,12521,2106,16406,2,2
1930,2000,500,100,94545911,10800,2106,16406,2,2
1930,2000,500,100,95953776,11510,2106,16406,2,2
1930,2000,500,100,94559365,12486,2106,16406,2,2
1940,2000,500,100,92099940,11663,2106,16406,2,2
1940,2000,500,100,94301192,9892,2106,16406,2,2
1940,2000,500,100,105259235,18038,2106,16406,2,2
1940,2000,500,100,99274553,12344,2106,16406,2,2
1940,2000,500,100,95158666,11055,2106,16406,2,2
1950,2000,500,100,94662843,39346,2106,16406,2,2
1950,2000,500,100,94933798,10770,2106,16406,2,2
1950,2000,500,100,101606665,13191,2106,16406,2,2
1950,2000,500,100,98821974,12464,2106,16406,2,2
1950,2000,500,100,99532035,14303,2106,16406,2,2
1960,2000,500,100,104484818,13326,2106,16406,2,2
1960,2000,500,100,96183792,11256,2106,16406,2,2
1960,2000,500,100,96489847,12114,2106,16406,2,2
1960,2000,500,100,94558163,13635,2106,16406,2,2
1960,2000,500,100,94965283,10688,2106,16406,2,2
1970,2000,500,100,104300343,16747,2106,16406,2,2
1970,2000,500,100,99592581,11937,2106,16406,2,2
1970,2000,500,100,98891338,10693,2106,16406,2,2
1970,2000,500,100,104109514,12878,2106,16406,2,2
1970,2000,500,100,100544457,12109,2106,16406,2,2
1980,2000,500,100,95152306,11682,2106,16406,2,2
1980,2000,500,100,93215261,11958,2106,16406,2,2
