Pallet: "pallet_portfolio", Extrinsic: "move_portfolio_funds", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
493,6959260,2763,1487,1485,986,2
493,6924161,2980,1487,1485,986,2
493,6949582,2814,1487,1485,986,2
493,7050927,2843,1487,1485,986,2
497,7023093,2996,1499,1497,994,2
497,7058461,2758,1499,1497,994,2
497,6973475,2790,1499,1497,994,2
497,7006585,2804,1499,1497,994,2
497,7059793,2711,1499,1497,994,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + a     14.1
              µs

Reads = 8 + (3 * a)
Writes = 0 + (2 * a)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    a   mean µs  sigma µs       %
    1     47.39     0.165    0.3%
    5     100.5     0.374    0.3%
    9     152.5     0.003    0.0%
   13     203.5      0.33    0.1%
   17     256.8     0.612    0.2%
   21       307     1.492    0.4%
   25     364.4     0.667    0.1%
   29     421.9     0.503    0.1%
   33     472.7     0.487    0.1%
   37     532.4     2.361    0.4%
   41     588.5     0.732    0.1%
   45     633.7     0.649    0.1%
   49     685.5     0.897    0.1%
   53     734.7     0.959    0.1%
   57     788.9     3.851    0.4%
   61     836.9     3.121    0.3%
   65     896.5     0.502    0.0%
   69       962     1.694    0.1%
   73      1020      0.65    0.0%
   77      1069     3.427    0.3%
   81      1121     0.544    0.0%
   85      1199     1.023    0.0%
   89      1232     0.753    0.0%
   93      1299     3.909    0.3%
   97      1360     3.786    0.2%
  101      1410     0.286    0.0%
  105      1470     0.315    0.0%
  109      1528     1.879    0.1%
  113      1541     0.932    0.0%
  117      1628     3.135    0.1%
  121      1679     2.487    0.1%
  125      1713     8.009    0.4%
  129      1791     3.173    0.1%
  133      1811     6.616    0.3%
  137      1865     3.859    0.2%
  141      1953     1.152    0.0%
  145      2015     4.684    0.2%
  149      2109     2.553    0.1%
  153      2167     5.436    0.2%
  157      2208     4.516    0.2%
  161      2260     1.944    0.0%
  165      2307     1.043    0.0%
  169      2380     2.546    0.1%
  173      2420     2.522    0.1%
  177      2499     5.608    0.2%
  181      2497     2.979    0.1%
  185      2592     4.457    0.1%
  189      2673     24.39    0.9%
  193      2652     2.408    0.0%
  197      2741      4.19    0.1%
  201      2814     4.238    0.1%
  205      2860     3.673    0.1%
  209      2895     1.401    0.0%
  213      2962      5.99    0.2%
  217      3021     2.702    0.0%
  221      3116     8.998    0.2%
  225      3095     2.114    0.0%
  229      3159     7.113    0.2%
  233      3240      4.62    0.1%
  237      3234     3.416    0.1%
  241      3348     5.912    0.1%
  245      3384     6.016    0.1%
  249      3436     2.371    0.0%
  253      3544     6.336    0.1%
  257      3513     3.326    0.0%
  261      3635     3.756    0.1%
  265      3687     4.568    0.1%
  269      3751     7.217    0.1%
  273      3751     5.033    0.1%
  277      3875     2.345    0.0%
  281      3885     14.94    0.3%
  285      4017     14.84    0.3%
  289      4049     17.98    0.4%
  293      4108     6.153    0.1%
  297      4236     4.601    0.1%
  301      4335     17.53    0.4%
  305      4272     15.17    0.3%
  309      4418     3.866    0.0%
  313      4494     5.723    0.1%
  317      4499     10.42    0.2%
  321      4526     9.215    0.2%
  325      4628     15.11    0.3%
  329      4680     12.84    0.2%
  333      4745     11.08    0.2%
  337      4707     16.03    0.3%
  341      4851     18.72    0.3%
  345      4821     1.559    0.0%
  349      4980      28.4    0.5%
  353      5047     5.846    0.1%
  357      5087     40.99    0.8%
  361      5151     19.96    0.3%
  365      5198     10.43    0.2%
  369      5269     37.46    0.7%
  373      5332     8.942    0.1%
  377      5314     16.51    0.3%
  381      5322     4.368    0.0%
  385      5493     2.079    0.0%
  389      5501     15.39    0.2%
  393      5469     2.823    0.0%
  397      5611     27.99    0.4%
  401      5707     4.548    0.0%
  405      5751     15.31    0.2%
  409      5786     7.935    0.1%
  413      5878     16.72    0.2%
  417      5886     41.16    0.6%
  421      5917     21.88    0.3%
  425      5958     4.453    0.0%
  429      6018        15    0.2%
  433      6144     22.87    0.3%
  437      6220      11.3    0.1%
  441      6190     7.651    0.1%
  445      6240     5.476    0.0%
  449      6360     8.364    0.1%
  453      6369     12.57    0.1%
  457      6390     10.86    0.1%
  461      6541     13.92    0.2%
  465      6526     8.288    0.1%
  469      6549     7.565    0.1%
  473      6626     18.69    0.2%
  477      6730     9.014    0.1%
  481      6649     11.92    0.1%
  485      6890     6.816    0.0%
  489      6937     16.63    0.2%
  493      6972     26.44    0.3%
  497      7029     21.63    0.3%

Quality and confidence:
param     error
a         0.015

Model:
Time ~=        0
    + a    14.14
              µs

Reads = 8 + (3 * a)
Writes = 0 + (2 * a)
