Pallet: "pallet_staking", Extrinsic: "submit_solution_initial", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1740,2000,500,100,97340675,12180,2106,16406,2,2
1740,2000,500,100,99182196,12112,2106,16406,2,2
1740,2000,500,100,111905162,12318,2106,16406,2,2
1740,2000,500,100,103851210,11984,2106,16406,2,2
1750,2000,500,100,104942300,15726,2106,16406,2,2
1750,2000,500,100,97020755,10626,2106,16406,2,2
1750,2000,500,100,99817421,11151,2106,16406,2,2
1750,2000,500,100,104119957,11891,2106,16406,2,2
1750,2000,500,100,105558164,12837,2106,16406,2,2
1760,2000,500,100,101944011,13009,2106,16406,2,2
1760,2000,500,100,96260977,12008,2106,16406,2,2
1760,2000,500,100,113765141,16640,2106,16406,2,2
1760,2000,500,100,97190203,13832,2106,16406,2,2
1760,2000,500,100,101796266,15421,2106,16406,2,2
1770,2000,500,100,101412760,12551,2106,16406,2,2
1770,2000,500,100,98360452,12656,2106,16406,2,2
1770,2000,500,100,100560711,12853,2106,16406,2,2
1770,2000,500,100,115723205,12760,2106,16406,2,2
1770,2000,500,100,100637809,13214,2106,16406,2,2
1780,2000,500,100,99186221,10408,2106,16406,2,2
1780,2000,500,100,102084144,20632,2106,16406,2,2
1780,2000,500,100,100945631,11632,2106,16406,2,2
1780,2000,500,100,97230634,10920,2106,16406,2,2
1780,2000,500,100,98648683,12271,2106,16406,2,2
1790,2000,500,100,98065240,19634,2106,16406,2,2
1790,2000,500,100,101640438,11856,2106,16406,2,2
1790,2000,500,100,104188084,11511,2106,16406,2,2
1790,2000,500,100,102078240,12222,2106,16406,2,2
1790,2000,500,100,99829901,12091,2106,16406,2,2
1800,2000,500,100,104358074,9769,2106,16406,2,2
1800,2000,500,100,105105322,12260,2106,16406,2,2
1800,2000,500,100,99723514,10278,2106,16406,2,2
1800,2000,500,100,101217448,12820,2106,16406,2,2
1800,2000,500,100,102353838,13057,2106,16406,2,2
1810,2000,500,100,109728506,12417,2106,16406,2,2
1810,2000,500,100,98062712,22845,2106,16406,2,2
1810,2000,500,100,105666960,13355,2106,16406,2,2
1810,2000,500,100,100580867,13143,2106,16406,2,2
1810,2000,500,100,95966066,11552,2106,16406,2,2
1820,2000,500,100,99916492,10463,2106,16406,2,2
1820,2000,500,100,96869641,10639,2106,16406,2,2
1820,2000,500,100,97891606,14664,2106,16406,2,2
1820,2000,500,100,95810204,10953,2106,16406,2,2
1820,2000,500,100,137710020,10729,2106,16406,2,2
1830,2000,500,100,101673701,11398,2106,16406,2,2
1830,2000,500,100,97582646,11712,2106,16406,2,2
1830,2000,500,100,100601458,12568,2106,16406,2,2
1830,2000,500,100,99810591,11860,2106,16406,2,2
1830,2000,500,100,100612455,12151,2106,16406,2,2
1840,2000,500,100,107317013,11772,2106,16406,2,2
1840,2000,500,100,95725041,13197,2106,16406,2,2
1840,2000,500,100,96592727,12790,2106,16406,2,2
1840,2000,500,100,102074335,11937,2106,16406,2,2
1840,2000,500,100,98985926,21456,2106,16406,2,2
1850,2000,500,100,95645620,34262,2106,16406,2,2
1850,2000,500,100,107248377,13842,2106,16406,2,2
1850,2000,500,100,101768621,10691,2106,16406,2,2
1850,2000,500,100,97314491,22539,2106,16406,2,2
1850,2000,500,100,99250975,11162,2106,16406,2,2
1860,2000,500,100,106982773,12742,2106,16406,2,2
1860,2000,500,100,103551761,11173,2106,16406,2,2
1860,2000,500,100,99161344,11407,2106,16406,2,2
1860,2000,500,100,99232845,11563,2106,16406,2,2
1860,2000,500,100,100661777,12131,2106,16406,2,2
1870,2000,500,100,101299609,22106,2106,16406,2,2
1870,2000,500,100,98887977,11807,2106,16406,2,2
1870,2000,500,100,102007248,10865,2106,16406,2,2
1870,2000,500,100,100060717,11894,2106,16406,2,2
1870,2000,500,100,98746214,11943,2106,16406,2,2
1880,2000,500,100,95049087,11184,2106,16406,2,2
1880,2000,500,100,112954354,12323,2106,16406,2,2
1880,2000,500,100,96189323,14868,2106,16406,2,2
1880,2000,500,100,99033164,14497,2106,16406,2,2
1880,2000,500,100,96923769,11162,2106,16406,2,2
1890,2000,500,100,108397224,11214,2106,16406,2,2
1890,2000,500,100,96536990,13587,2106,16406,2,2
1890,2000,500,100,97286352,11530,2106,16406,2,2
1890,2000,500,100,95078108,11749,2106,16406,2,2
1890,2000,500,100,95363597,12620,2106,16406,2,2
1900,2000,500,100,97483666,13436,2106,16406,2,2
1900,2000,500,100,97988427,11154,2106,16406,2,2
1900,2000,500,100,100207790,12747,2106,16406,2,2
1900,2000,500,100,96865073,13537,2106,16406,2,2
1900,2000,500,100,100319086,13080,2106,16406,2,2
1910,2000,500,100,96898654,11993,2106,16406,2,2
1910,2000,500,100,101518955,14300,2106,16406,2,2
1910,2000,500,100,97499436,9918,2106,16406,2,2
1910,2000,500,100,96710240,10022,2106,16406,2,2
1910,2000,500,100,96593377,10262,2106,16406,2,2
1920,2000,500,100,96579739,10068,2106,16406,2,2
1920,2000,500,100,101109428,12455,2106,16406,2,2
1920,2000,500,100,97041350,13961,2106,16406,2,2
1920,2000,500,100,94238449,11427,2106,16406,2,2
1920,2000,500,100,98311673,11374,2106,16406,2,2
1930,2000,500,100,97626306,12622,2106,16406,2,2
1930,2000,500,100,96385656,12072,2106,16406,2,2
1930,2000,500,100,97584587,21452,2106,16406,2,2
1930,2000,500,100,94650999,12475,2106,16406,2,2
1930,2000,500,100,96416717,11994,2106,16406,2,2
1940,2000,500,100,100172531,21625,2106,16406,2,2
1940,2000,500,100,94513908,11489,2106,16406,2,2
1940,2000,500,100,94466377,12881,2106,16406,2,2
1940,2000,500,100,95303257,10410,2106,16406,2,2
1940,2000,500,100,97707220,10838,2106,16406,2,2
1950,2000,500,100,96081214,10471,2106,16406,2,2
1950,2000,500,100,98139821,11373,2106,16406,2,2
1950,2000,500,100,95993154,10793,2106,16406,2,2
1950,2000,500,100,103414278,11351,2106,16406,2,2
1950,2000,500,100,94858856,14913,2106,16406,2,2
1960,2000,500,100,103990107,16482,2106,16406,2,2
1960,2000,500,100,99762778,11976,2106,16406,2,2
1960,2000,500,100,97321178,11118,2106,16406,2,2
1960,2000,500,100,95713331,12379,2106,16406,2,2
1960,2000,500,100,98128944,11671,2106,16406,2,2
1970,2000,500,100,98681366,11857,2106,16406,2,2
1970,2000,500,100,98149422,13057,2106,16406,2,2
1970,2000,500,100,96873694,13357,2106,16406,2,2
1970,2000,500,100,97428586,13020,2106,16406,2,2
1970,2000,500,100,95417137,12496,2106,16406,2,2
1980,2000,500,100,93538158,10930,2106,16406,2,2
