Pallet: "frame_system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
  928     328.7     0.309    0.0%
  937     331.2     0.757    0.2%
  946     333.3      1.19    0.3%
  955     337.6     0.205    0.0%
  964     339.9     0.701    0.2%
  973     343.3     0.262    0.0%
  982       348      0.54    0.1%
  991     350.3     0.425    0.1%
 1000     355.8     0.412    0.1%

Quality and confidence:
param     error
i         0.001

Model:
Time ~=    0.598
    + i    0.356
              µs

Reads = 0 + (0 * i)
Writes = 0 + (1 * i)
